month,deposits,aver_inc,population,manprop,billboard,numofbank
1,65,4901,5023,40,1,13
2,71,6160,12858,40,1,17
4,58,6390,17247,45,1,16
1,61,4864,6321,55,1,6
3,39,5673,9953,45,1,8
5,57,7749,5502,56,1,19
4,0,5239,14972,50,1,13
2,0,3920,16353,49,1,7
2,0,5557,13944,49,1,7
3,85,4894,18523,48,1,18
2,56,7021,11662,54,1,17
6,0,3899,19735,50,1,15
3,122,5733,17689,59,1,14
5,44,5009,6975,43,1,8
5,78,7141,14758,55,1,18
3,72,8281,12808,56,1,16
2,100,6784,19539,59,1,18
2,70,6247,19324,40,1,14
3,55,5330,7834,54,1,17
3,76,8285,8461,51,1,9
2,0,6276,14506,42,1,12
2,43,3993,14774,40,1,15
3,58,5682,19263,41,1,5
2,0,5055,10572,55,1,12
2,0,4940,16461,44,1,12
1,50,4772,16918,41,1,18
2,0,5250,16390,46,1,12
1,61,4689,15131,53,1,12
1,59,5104,13158,40,1,16
2,73,6868,7651,40,1,7
2,62,8030,16225,49,1,6
3,0,6823,11951,45,1,19
5,114,5537,16858,54,1,14
2,53,6889,7581,49,1,10
6,66,5512,11130,54,1,14
6,95,5063,5958,41,1,15
6,67,4321,12764,57,1,7
2,0,5178,11164,43,1,19
2,0,6686,9483,59,1,14
2,79,5315,8124,43,1,9
3,87,4764,19848,44,1,15
5,64,5877,6273,45,1,18
3,0,4527,15715,45,1,13
1,0,5780,7867,47,1,19
6,0,,8218,51,1,9
5,0,5662,5662,59,1,7
1,0,6219,13315,50,1,13
2,0,3957,16652,41,1,17
3,52,6428,8500,47,1,5
4,70,6278,17862,56,1,7
6,71,4322,6962,48,1,19
2,42,5363,8875,41,1,12
4,70,4234,19773,40,1,8
5,0,6173,11867,53,1,18
4,0,6939,15749,40,1,16
1,53,5098,6326,49,1,6
1,99,7329,12269,58,1,15
3,0,3888,18225,53,1,15
4,118,7365,8658,43,1,20
3,68,6298,11845,41,1,20
3,70,5391,11753,50,1,13
5,39,5135,16609,56,1,11
1,0,4723,16292,58,1,18
6,69,4882,19225,53,1,5
1,0,7617,18757,59,1,6
3,0,5407,15148,43,1,8
2,0,5166,8181,53,1,10
4,111,7993,14257,40,1,14
1,95,5891,19566,56,1,17
1,62,5031,7860,49,1,7
1,0,7057,19358,59,1,10
5,83,5263,8523,50,1,8
4,0,5274,9783,51,1,5
1,95,5175,14326,52,1,10
3,51,7772,18541,58,1,19
1,87,6530,13451,40,1,10
4,44,5724,9976,45,1,20
3,60,7616,6442,40,1,10
1,83,7868,9019,40,1,10
4,132,4813,15838,56,1,5
2,98,6572,19264,56,1,11
4,0,4235,13062,50,1,10
1,143,4461,16316,53,1,13
4,0,5220,13948,48,1,14
1,0,5753,17917,50,1,7
4,60,5458,5130,59,1,18
1,0,6417,17199,51,1,12
6,65,5452,10902,42,1,14
1,75,4599,16390,60,1,5
5,0,7346,5323,56,1,12
6,0,5415,10144,47,1,18
2,0,7308,16315,44,1,10
3,0,6585,15028,57,1,18
4,0,6207,19138,48,1,13
6,31,6592,8647,45,1,5
5,0,6500,11711,46,1,20
6,129,6770,18209,41,1,17
6,0,7058,6763,55,1,5
2,42,5936,19484,45,1,15
3,0,6159,10866,58,1,11
3,70,4781,12537,53,1,15
1,0,7552,11571,54,1,10
6,0,7465,5773,58,1,19
1,73,5740,14551,42,1,12
3,0,5749,9800,55,1,15
4,0,7154,6936,46,1,7
1,55,7408,10739,46,1,19
3,0,5805,17573,48,1,7
2,86,6140,5246,58,1,6
2,82,6659,9729,55,1,14
5,79,5330,6408,47,1,18
6,36,7704,18998,48,1,11
1,0,5973,16367,59,1,18
1,124,5476,9020,54,1,9
5,66,6715,12734,54,1,13
1,0,7319,13568,42,1,5
5,0,5406,15594,44,1,9
4,103,6589,11904,52,1,16
5,0,5782,8975,57,1,15
5,0,5494,8773,46,1,9
6,63,6084,5037,52,1,7
5,92,4496,10865,60,1,9
5,63,4653,6020,44,1,13
2,0,7545,18633,40,1,16
5,98,6541,9727,44,1,10
2,64,6008,7989,46,1,20
2,98,5683,15251,55,1,10
3,0,5287,12032,54,1,8
2,35,5753,12224,50,1,10
3,0,5846,19374,42,1,19
3,44,4217,8097,46,1,17
5,0,5207,19109,55,1,17
3,69,5056,14253,55,1,7
5,60,7166,7030,45,1,11
2,107,6185,11618,40,1,6
2,72,8169,13176,57,1,10
5,104,4194,17783,40,1,7
6,95,5574,15211,40,1,5
4,0,6873,12965,57,1,9
4,62,6048,8398,55,1,8
5,48,6339,7681,46,1,6
1,0,6393,8193,60,1,17
3,48,6168,15384,40,1,15
5,85,6980,9638,48,1,5
4,0,4452,11436,45,1,13
6,107,5354,12929,49,1,10
4,72,4082,14689,55,1,12
3,0,4182,15975,55,1,16
6,0,7106,10231,44,1,7
1,0,6048,6224,47,1,16
6,93,5408,6588,56,1,6
6,0,6037,6703,57,1,10
1,0,6520,14301,58,1,9
6,57,5333,18603,45,1,11
6,131,7944,7014,51,1,15
5,42,7017,18763,42,1,6
3,74,,10601,46,1,8
2,0,6515,6748,49,1,9
6,82,5875,9904,46,1,5
5,41,5359,5555,50,1,11
5,81,6954,19544,53,1,10
3,0,6368,15622,48,1,18
2,52,4058,19411,43,1,18
1,0,5920,7275,49,1,19
1,67,7595,11406,41,1,15
3,94,6278,17423,55,1,6
1,82,5763,19885,49,1,11
4,60,7272,6025,44,1,10
3,59,8134,10426,56,1,20
2,0,6711,11668,46,1,18
1,62,5352,11749,49,1,16
2,132,5918,19887,46,1,12
4,26,6306,5014,52,1,14
2,83,3960,17153,53,1,17
2,97,6755,10316,47,1,7
2,0,6046,8709,60,1,9
6,69,4017,12845,55,1,17
2,89,5629,16906,55,1,14
6,114,5475,17852,47,1,14
3,0,5091,14217,58,1,19
4,0,7051,19407,54,1,18
6,49,6700,7846,44,1,15
4,55,4785,17458,41,1,15
2,98,5956,18338,44,1,11
4,92,5560,18643,58,1,9
5,40,5876,10502,59,1,7
3,88,3985,17676,43,1,15
1,62,5374,6796,60,1,5
2,24,3922,16347,59,1,7
6,67,6247,17367,49,1,12
6,0,6301,9970,59,1,13
2,52,5078,19012,40,1,19
6,62,6104,14555,42,1,16
1,118,7871,13173,46,1,13
6,0,5521,11175,50,1,10
3,35,4346,18867,43,1,9
6,67,4500,16204,59,1,19
3,84,6528,16327,59,1,5
3,91,5832,11715,42,1,5
3,76,5444,5559,44,1,6
4,0,5739,16091,48,1,17
2,82,7078,12617,42,1,8
4,49,6561,15184,56,1,18
1,74,6220,13977,45,1,
2,71,4655,15892,43,1,15
4,46,7287,8872,41,1,16
5,65,5287,9906,50,1,15
5,64,5929,15243,41,1,9
2,0,3922,13990,56,1,11
3,0,5504,17175,58,1,6
6,0,6122,7851,49,1,6
2,0,5921,12772,51,1,5
4,60,6633,12971,43,1,13
2,88,4778,16675,44,1,16
6,0,7109,15906,52,1,17
2,130,5865,5426,55,1,16
4,52,7705,9460,41,1,20
1,0,6978,8196,41,1,16
5,47,4193,5338,58,1,13
6,0,6146,6826,42,1,11
1,0,6077,5949,50,1,15
1,70,6435,12350,48,1,5
3,88,6327,7749,57,1,13
3,0,6956,9663,46,1,17
5,77,5217,15463,41,1,19
4,87,6655,13340,44,1,10
2,60,4652,16022,60,1,15
6,207,6651,16999,60,1,14
2,21,6789,19486,60,1,6
4,99,5173,10158,47,1,11
4,53,7057,17683,60,1,19
1,65,5557,14260,42,1,12
3,0,4468,11342,46,1,18
2,0,6198,15722,40,1,13
6,65,6532,19553,52,1,13
2,0,6620,11219,41,1,20
3,92,5386,16139,48,1,19
3,92,5865,13335,40,1,13
4,0,6525,15519,50,1,12
4,53,7293,19713,55,1,7
3,29,5223,18975,51,1,14
6,99,5822,19973,52,1,18
1,63,6260,18338,56,1,9
5,95,6377,14735,57,1,9
1,49,6667,7072,58,1,16
6,39,5093,6616,50,1,6
4,33,6838,11997,55,1,11
6,0,7462,7769,51,1,16
1,24,7315,16296,42,1,20
6,0,5518,5415,57,1,14
4,146,4455,16953,58,1,16
5,75,5446,8959,52,1,12
6,0,5405,11977,45,1,5
2,67,5665,5413,52,1,20
3,102,6057,18021,58,1,18
3,58,7895,6490,60,1,7
4,36,4898,9620,56,1,6
6,0,6867,19440,51,1,5
1,0,5392,7531,42,1,13
4,65,6740,5772,41,1,15
4,37,7531,5028,54,1,12
6,88,4823,11543,43,1,9
2,0,3645,6504,46,1,9
2,47,5820,9516,54,1,11
1,53,7516,12191,54,1,20
2,0,5857,7668,56,1,14
3,45,5599,18574,46,1,8
3,71,5324,5717,53,1,10
5,80,7256,15172,46,1,20
1,0,6153,6934,53,1,15
6,61,5885,17285,41,1,8
6,0,6391,14090,49,1,14
1,93,5128,5128,50,1,8
1,76,4664,16063,43,1,11
2,97,5617,9662,59,1,6
2,0,7639,7639,40,1,14
3,0,5082,16910,43,1,19
3,0,7396,12809,41,1,17
5,88,4500,9148,56,1,20
3,30,7875,11387,40,1,5
6,69,6347,11839,55,1,20
1,40,5878,10878,43,1,15
4,0,6577,8386,58,1,19
5,0,5556,15674,48,1,18
3,54,7032,19113,40,1,6
2,0,6083,10461,59,1,18
3,56,6922,8692,54,1,5
1,40,6383,17505,46,1,15
5,111,5085,16655,43,1,13
5,92,6631,18868,52,1,13
6,67,7978,19610,60,1,19
1,71,4228,16613,57,1,14
3,46,5661,11012,47,1,8
6,90,4149,10365,42,1,15
4,56,5882,18448,52,1,13
2,56,5306,13741,47,1,17
6,0,5361,14453,44,1,18
4,0,6199,19453,42,1,16
4,166,5643,19379,56,1,19
3,0,6903,7496,60,1,14
6,0,6682,8419,54,1,10
4,41,6183,9130,60,1,7
2,57,5120,14603,44,1,12
3,70,6478,15617,50,1,9
3,74,7510,14898,43,1,7
3,38,4184,15082,46,1,10
3,116,5628,5762,60,1,10
1,75,6057,9241,51,1,20
3,0,6077,14846,48,1,12
6,62,5791,8433,56,1,6
6,75,7882,8338,58,1,14
9,171,6483,,57,1,16
12,65,5145,18350,44,1,12
7,95,5163,15645,55,1,7
8,159,5486,15733,49,1,9
12,76,6954,11832,59,1,15
10,106,5973,5399,45,1,6
10,85,6187,14351,43,1,5
11,110,4539,9535,54,1,7
7,63,6255,15979,42,1,5
11,79,4437,6083,40,1,7
10,0,4703,15826,44,1,15
12,106,5115,10864,45,1,17
12,50,6671,15024,54,1,19
7,151,5323,6692,43,1,18
8,113,7301,11055,46,1,15
10,110,4934,19685,40,1,10
9,55,6471,16982,43,1,11
11,135,6505,5758,57,1,16
10,120,6034,15931,46,1,12
7,67,6651,14363,53,1,7
12,50,6709,14297,43,1,8
10,104,3803,16596,59,1,9
10,144,6180,5660,52,1,11
10,160,5521,18767,41,1,7
9,0,5976,8652,51,1,12
9,68,4801,8219,59,1,16
11,93,4901,9026,58,1,18
10,0,3867,9456,43,1,9
10,0,5479,15354,55,1,20
12,64,7759,12062,55,1,12
10,104,5217,14419,47,1,5
12,121,5616,8871,53,1,17
8,92,3733,6758,42,1,16
7,0,6505,14422,42,1,18
9,0,4956,8249,43,1,10
7,174,6112,12411,48,1,20
9,157,5430,15486,43,1,6
8,0,6774,8032,60,1,10
10,37,5034,14557,44,1,20
7,82,6158,10011,45,1,16
12,109,5259,16079,51,1,19
8,0,7660,17550,54,1,18
8,121,6469,6044,51,1,18
8,71,6864,6807,46,1,20
9,48,4322,12791,56,1,18
8,86,6773,10521,41,1,5
8,0,6450,11688,45,1,10
9,156,6221,5495,44,1,19
8,110,5326,8696,47,1,15
9,85,7950,13478,54,1,14
11,152,6621,13852,45,1,16
9,78,7011,12351,56,1,18
9,87,5606,12885,45,1,6
10,203,4405,16811,55,1,8
7,97,7052,6804,54,1,20
9,134,5434,5178,44,1,15
8,111,7971,6470,50,1,14
9,51,4345,10158,50,1,16
12,123,7147,7637,54,1,7
11,159,6504,10755,45,1,17
10,97,7271,14762,52,1,20
8,94,5567,13654,43,1,11
9,114,6953,14992,45,1,5
7,91,6480,11539,52,1,15
9,66,6313,6168,49,1,12
11,71,4821,12504,54,1,12
10,76,4941,8060,44,1,11
10,0,5827,18019,58,1,12
12,0,5573,13927,60,1,13
10,102,6467,13525,54,1,5
11,63,7403,14441,42,1,6
11,83,4053,15543,58,1,9
7,0,5405,7025,58,1,15
8,72,7388,8845,41,1,12
8,80,5605,11667,59,1,17
10,110,7509,18151,48,1,7
10,74,4507,17010,41,1,19
12,134,6326,10847,50,1,6
12,115,6754,9671,57,1,5
12,131,7513,19595,44,1,13
10,0,6962,13532,40,1,19
9,0,6342,14678,59,1,11
7,74,5115,17077,40,1,9
8,136,5140,10619,51,1,18
10,131,5984,19760,46,1,13
11,80,4075,8056,43,1,8
11,90,6759,5752,47,1,14
7,101,7026,14797,52,1,18
9,46,4863,5837,54,1,8
8,57,7738,11104,46,1,7
9,121,6179,14462,57,1,6
8,88,6736,19527,43,1,14
9,0,5662,19848,43,1,10
9,92,7580,16028,59,1,15
9,127,7072,5779,48,1,10
11,0,5732,15998,52,1,19
12,132,4524,18322,46,1,14
9,118,5261,13502,41,1,14
9,108,6508,14360,57,1,11
11,89,5846,6441,48,1,18
12,130,5166,7164,52,1,9
12,143,6587,11670,42,1,14
7,120,7110,15069,41,1,19
11,72,6644,6200,57,1,11
10,124,5846,5824,40,1,20
8,122,6800,12777,57,1,7
11,132,5932,10237,59,1,5
7,44,7758,5447,42,1,19
11,146,7124,12415,41,1,8
12,107,4486,19072,56,1,14
8,0,4694,16443,60,1,5
10,69,6208,7941,44,1,17
7,126,6206,7120,56,1,16
9,204,6161,12831,59,1,20
11,86,7050,7287,51,1,19
9,158,5740,16319,51,1,11
12,49,5416,17787,48,1,19
8,106,5772,8486,49,1,10
9,80,5299,17115,58,1,11
8,82,4814,9368,58,1,11
12,63,4933,10290,42,1,9
8,144,5911,18361,49,1,20
8,0,6513,10256,49,1,20
8,89,4591,5557,58,1,12
8,222,5822,14191,44,1,15
7,95,6310,15914,46,1,7
8,103,5904,11888,60,1,7
11,87,4584,10701,43,1,15
10,109,4688,6390,41,1,14
11,170,6961,16301,48,1,8
12,102,6092,7289,46,1,20
10,113,7079,5596,54,1,10
12,177,4881,10510,51,1,6
10,86,6341,19117,50,1,16
8,122,5841,9449,41,1,10
12,104,5288,17492,41,1,8
7,189,6846,19507,47,1,7
11,74,5038,14241,49,1,17
7,150,5048,13305,46,1,5
9,172,6746,12791,52,1,18
7,87,6123,6290,60,1,7
7,152,7304,13398,48,1,17
9,97,6150,8359,52,1,16
12,49,3781,8834,43,1,7
12,75,6008,6570,46,1,6
8,136,7327,18664,56,1,7
12,143,4349,9021,53,1,7
8,180,7288,6252,60,1,8
7,53,4815,12217,42,1,9
7,98,5239,13483,43,1,6
8,0,4490,17730,50,1,5
7,178,8052,17786,45,1,6
9,48,6988,9957,55,1,7
11,74,6276,13229,53,1,17
8,75,6658,10155,57,1,18
9,63,5542,11408,42,1,15
10,112,6557,11385,47,1,16
8,111,7741,13435,59,1,11
12,56,5405,5152,57,1,17
9,123,6210,12735,43,1,10
12,88,6094,5195,53,1,20
9,91,6496,10899,41,1,5
9,0,6762,5896,52,1,13
7,78,4536,19165,43,1,5
12,88,6361,11841,59,1,7
11,0,8037,6395,46,1,8
11,47,6124,8181,44,1,19
8,76,5310,16158,51,1,16
12,121,7877,11264,46,1,12
12,126,5371,5640,54,1,8
9,68,5267,9047,58,1,6
8,141,5704,13602,40,1,8
7,0,6172,16004,53,1,11
9,56,5149,12662,47,1,18
9,148,5163,10843,51,1,20
10,129,6286,12303,59,1,9
9,63,4257,16548,53,1,9
8,0,5712,7520,58,1,14
8,0,5488,15918,50,1,8
7,0,4618,8949,44,1,10
11,89,6728,16545,47,1,18
7,104,6681,10709,43,1,11
12,105,7650,6731,44,1,15
8,61,4670,16414,44,1,12
12,93,5478,5914,53,1,15
8,47,6531,8315,58,1,17
8,71,7375,17810,47,1,7
7,105,6553,13327,58,1,18
10,91,5129,7672,48,1,18
11,49,6004,5008,47,1,20
8,144,5823,19516,50,1,15
7,0,8049,18316,43,1,10
11,197,3699,8583,59,1,20
9,170,3577,10134,56,1,15
12,24,5949,10506,42,1,11
12,145,4234,12322,51,1,5
8,85,3918,8815,55,1,16
10,82,5150,10699,57,1,19
8,156,4499,12381,58,1,7
7,150,5918,16810,54,1,5
10,64,5384,14699,58,1,9
10,75,7558,18336,52,1,13
10,177,5945,10971,54,1,6
9,151,4793,17425,52,1,10
8,80,6905,18314,46,1,17
10,147,4694,12639,49,1,12
10,0,5496,11886,46,1,7
10,0,5561,14213,49,1,10
9,166,4609,15969,60,1,8
10,0,5940,10775,51,1,9
9,61,5084,19956,49,1,7
8,91,4211,7269,45,1,10
7,100,4294,6770,60,1,7
12,85,7227,5806,49,1,17
12,139,6543,12859,48,1,8
7,116,6268,17758,59,1,9
9,0,5730,12692,52,1,8
8,0,5171,8070,47,1,17
10,45,6929,11828,58,1,14
11,79,6879,5686,48,1,6
7,0,5837,15090,56,1,5
9,33,4305,19111,49,1,11
9,142,7123,18993,47,1,18
8,80,6178,9769,46,1,8
9,105,6520,5849,42,1,15
11,0,5457,8941,53,1,6
12,70,5215,19236,42,1,5
11,127,7318,16149,45,1,19
9,94,5677,9272,56,1,16
8,57,6656,11457,40,1,15
10,189,6039,10670,51,1,6
11,77,5590,9431,60,1,7
11,0,7329,8905,56,1,15
10,170,7391,9233,52,1,13
12,93,4601,19371,58,1,5
12,256,8088,15544,43,1,20
7,0,7201,17858,51,1,19
8,0,5786,9120,42,1,18
10,94,3892,18392,42,1,18
7,145,4135,7431,49,1,9
8,25,4284,6821,44,1,8
12,80,5623,6392,42,1,8
12,125,7012,15840,53,1,20
11,126,6038,19798,59,1,5
8,168,7720,7992,58,1,6
12,81,4227,13931,59,1,13
9,0,7648,9600,53,1,9
11,82,5037,6683,50,1,11
8,76,6571,12678,49,1,6
9,141,4307,15980,56,1,8
9,55,5950,8578,42,1,11
10,155,5282,13280,44,1,8
8,100,6904,11013,51,1,17
10,189,7168,16312,54,1,8
8,158,4389,13032,57,1,16
12,0,5586,14403,56,1,8
7,109,5246,11465,40,1,9
8,0,5020,12079,47,1,5
11,82,5590,6224,54,1,14
9,194,6232,6656,49,1,16
8,116,4502,10095,52,1,14
11,0,5064,18506,48,1,8
8,87,5326,13997,51,1,20
9,58,4671,17893,54,1,5
11,145,7709,15182,48,1,5
8,45,5725,19730,60,1,14
9,99,6734,8021,42,1,15
7,141,3714,18425,60,1,9
10,92,4095,7218,43,1,12
11,143,5600,16635,51,1,17
10,41,5337,10882,40,1,5
11,200,4518,19411,57,1,19
12,71,4313,12395,50,1,15
8,0,6865,5794,47,1,17
9,168,5826,8421,56,1,11
7,0,6059,8769,58,1,12
9,0,6712,10173,50,1,7
7,0,5616,15862,41,1,9
7,108,6771,14937,41,1,17
10,0,4735,7708,49,1,9
11,102,7327,19319,48,1,17
10,126,5658,10602,47,1,12
12,0,5692,13937,50,1,5
9,0,6142,10224,43,1,14
8,52,6418,5264,55,1,18
10,107,5662,7816,40,1,12
12,165,5502,17780,46,1,5
9,125,7949,12788,41,1,15
8,74,8193,18667,40,1,14
11,99,6583,16996,50,1,13
12,0,7793,6751,48,1,5
9,0,6581,9387,41,1,14
12,101,5657,8656,49,1,19
12,63,5651,15029,55,1,6
8,73,5739,11583,43,1,11
8,58,4817,11337,56,1,9
8,134,8321,11650,41,1,9
7,122,4249,6963,50,1,17
11,46,3995,7062,57,1,12
12,89,4701,12062,54,1,11
8,99,7138,6061,42,1,18
9,157,4112,19326,42,1,13
10,0,5117,12279,41,1,9
10,87,7269,11936,47,1,5
7,107,5919,6563,53,1,11
11,169,6296,10193,41,1,9
7,0,7016,6163,59,1,11
8,72,6986,11224,54,1,12
11,91,6635,12029,59,1,17
8,115,6136,17747,52,1,9
7,124,6976,14820,48,1,19
11,72,5220,5194,47,1,14
9,160,5429,14543,40,1,7
11,0,5622,15825,49,1,6
10,0,4542,6715,41,1,17
11,77,4752,14308,59,1,19
8,92,5024,16245,40,1,18
11,108,7395,17006,46,1,15
8,123,5697,18532,52,1,11
10,69,5495,8723,59,1,16
12,143,5921,16372,55,1,9
8,106,6580,11249,48,1,6
8,0,6543,10176,60,1,9
7,171,6273,16388,55,1,20
12,86,5108,9347,46,1,14
7,92,7613,15365,54,1,7
9,0,7561,10660,40,1,14
8,0,5262,14826,43,1,17
12,118,5714,17517,49,1,19
10,163,6186,18834,41,1,11
8,73,5323,10056,54,1,20
7,122,5466,6015,59,1,8
10,86,5422,14619,42,1,15
7,191,6382,7019,47,1,10
12,139,5672,17668,55,1,20
11,112,7683,17146,45,1,19
11,176,4655,12654,52,1,15
8,0,5305,19005,54,1,12
9,98,5001,13608,55,1,12
9,0,6527,6068,49,1,19
11,116,4195,15399,43,1,19
12,69,4911,8730,59,1,5
8,71,5715,5045,41,1,20
9,85,5690,17630,40,1,8
8,81,7169,13298,46,1,13
11,121,4748,13644,44,1,11
10,115,6939,18149,46,1,7
11,77,5642,8247,51,1,9
8,48,7024,6733,60,1,18
9,56,6357,8346,40,1,19
8,0,6960,9455,52,1,16
12,46,7700,18909,40,1,6
10,0,5158,5562,40,1,20
8,194,7016,14216,57,1,17
9,110,6602,14801,45,1,10
12,139,5070,16085,51,1,11
9,107,4018,15123,49,1,17
9,123,5198,16855,42,1,16
12,70,5531,13457,42,1,8
8,107,5423,7947,44,1,5
8,120,4352,13130,48,1,7
7,62,7530,8117,59,1,5
9,65,5456,16691,60,1,15
8,136,5166,14789,53,1,13
8,206,6536,19457,48,1,18
7,97,5648,17861,49,1,9
7,147,6330,17203,47,1,9
10,181,6216,15644,45,1,13
9,100,8036,14359,44,1,10
8,0,4590,15781,51,1,19
11,139,5960,5273,49,1,6
10,129,4935,15896,51,1,16
